blocksize,elapsed_time
4,4.0095e-05
5,3.8653e-05
6,3.9355e-05
7,3.8452e-05
8,3.9023e-05
9,4.0066e-05
10,4.0156e-05
11,3.8692e-05
12,3.9925e-05
13,3.9715e-05
14,4.0386e-05
15,3.8713e-05
16,3.9444e-05
17,3.8994e-05
18,3.9464e-05
19,4.3121e-05
20,4.0275e-05
blocksize,elapsed_time
0,3.9765e-05
1,4.0105e-05
2,3.9244e-05
3,4.0065e-05
4,4.4043e-05
5,3.8984e-05
6,4.0707e-05
7,3.8973e-05
8,3.9304e-05
9,3.8993e-05
10,3.9745e-05
11,3.9474e-05
12,4.0075e-05
13,4.0246e-05
14,3.9354e-05
15,3.9034e-05
16,4.0156e-05
17,3.9204e-05
18,4.0286e-05
19,3.9795e-05
20,4.0606e-05
blocksize,elapsed_time
0,4.1348e-05
1,3.9535e-05
2,3.9615e-05
3,3.9124e-05
4,4.0526e-05
5,4.0426e-05
6,4.0486e-05
7,4.0135e-05
8,3.9394e-05
9,4.0917e-05
10,3.9965e-05
11,3.9174e-05
12,3.9484e-05
13,4.0246e-05
14,4.0687e-05
15,4.0566e-05
16,3.9775e-05
17,3.9694e-05
18,3.9875e-05
19,4.0897e-05
20,4.0016e-05
blocksize,elapsed_time
0,4.0095e-05
1,3.9715e-05
2,3.9985e-05
3,3.9234e-05
4,3.9825e-05
5,3.9715e-05
6,3.9975e-05
7,3.9455e-05
8,3.9234e-05
9,3.9966e-05
10,3.9865e-05
11,3.8803e-05
12,3.8803e-05
13,4.0016e-05
14,4.0807e-05
15,4.0516e-05
16,3.9525e-05
17,3.9635e-05
18,3.9986e-05
19,3.9093e-05
20,4.0426e-05
blocksize,elapsed_time
0,4.2571e-05
1,4.232e-05
2,4.2159e-05
3,4.2791e-05
4,4.4143e-05
5,4.244e-05
6,4.253e-05
7,4.256e-05
8,4.2561e-05
9,4.2069e-05
10,4.2029e-05
11,4.2149e-05
12,4.1979e-05
13,4.28e-05
14,4.2219e-05
15,4.3271e-05
16,4.4334e-05
17,4.245e-05
18,4.1839e-05
19,4.3502e-05
20,4.266e-05
blocksize,elapsed_time
0,4.2259e-05
1,4.3031e-05
2,4.22e-05
3,4.245e-05
4,4.3913e-05
5,4.3051e-05
6,4.251e-05
7,4.232e-05
8,4.266e-05
9,4.29e-05
10,4.261e-05
11,4.2641e-05
12,4.2219e-05
13,4.2791e-05
14,4.252e-05
15,4.3111e-05
16,4.2541e-05
17,4.241e-05
18,4.2971e-05
19,4.274e-05
20,4.2911e-05
blocksize,elapsed_time
0,4.3082e-05
1,4.2951e-05
2,4.3251e-05
3,4.3131e-05
4,4.3181e-05
5,4.3662e-05
6,4.3361e-05
7,4.2771e-05
8,4.3622e-05
9,5.0385e-05
10,4.3231e-05
11,4.3401e-05
12,4.3802e-05
13,4.3341e-05
14,4.3232e-05
15,4.4183e-05
16,4.3271e-05
17,4.3723e-05
18,4.2981e-05
19,4.285e-05
20,4.3462e-05
blocksize,elapsed_time
0,3.9054e-05
1,3.8062e-05
2,3.8663e-05
3,3.8893e-05
4,3.9194e-05
5,3.8372e-05
6,3.9074e-05
7,3.8413e-05
8,3.8122e-05
