blocksize,elapsed_time
69,1.9968e-05
70,1.9718e-05
71,1.8265e-05
72,2.105e-05
73,0.000782855
74,3.0998e-05
75,3.5096e-05
76,3.3874e-05
77,2.6099e-05
78,2.7371e-05
79,2.4346e-05
80,2.3915e-05
81,2.2532e-05
82,2.2002e-05
83,2.2292e-05
84,2.2963e-05
85,2.144e-05
86,2.2432e-05
87,2.3203e-05
88,2.6069e-05
89,2.678e-05
90,2.3064e-05
91,2.4737e-05
92,2.3595e-05
93,2.4226e-05
94,2.2342e-05
95,2.1901e-05
96,2.3755e-05
97,2.2001e-05
98,2.3515e-05
99,2.1491e-05
blocksize,elapsed_time
0,2.2502e-05
1,2.2953e-05
2,2.4987e-05
3,2.3844e-05
4,2.5898e-05
5,2.3084e-05
6,3.3904e-05
7,0.000781592
8,3.5396e-05
9,2.2823e-05
10,2.4256e-05
11,2.131e-05
12,2.09e-05
13,2.125e-05
14,2.117e-05
15,2.2021e-05
16,2.2513e-05
17,2.2612e-05
18,2.2352e-05
19,1.9246e-05
20,2.2432e-05
21,2.4576e-05
22,2.2262e-05
23,2.2171e-05
24,2.2112e-05
25,2.3675e-05
26,2.6891e-05
27,2.2723e-05
28,2.1039e-05
29,2.0929e-05
30,2.2954e-05
31,2.2813e-05
32,2.2703e-05
33,2.3414e-05
34,2.2653e-05
35,2.3094e-05
36,2.2643e-05
37,2.0909e-05
38,2.107e-05
39,2.2883e-05
40,2.2833e-05
41,2.2973e-05
42,2.141e-05
43,0.000753419
44,3.4365e-05
45,3.6519e-05
46,2.4977e-05
47,2.2552e-05
48,2.2493e-05
49,2.2322e-05
50,2.3955e-05
51,2.2382e-05
52,2.2202e-05
53,2.4486e-05
54,2.5158e-05
55,2.4155e-05
56,2.5268e-05
57,2.4756e-05
58,2.4056e-05
59,2.3524e-05
60,2.2793e-05
61,2.3294e-05
62,2.2933e-05
63,2.117e-05
64,2.107e-05
65,2.2783e-05
66,2.2703e-05
67,2.133e-05
68,2.1019e-05
69,2.1079e-05
70,2.1069e-05
71,2.11e-05
72,2.2733e-05
73,2.126e-05
74,2.2803e-05
75,2.112e-05
76,2.1521e-05
77,2.125e-05
78,0.000790729
79,3.702e-05
80,3.4785e-05
81,2.4146e-05
82,1.9296e-05
83,1.9597e-05
84,1.9496e-05
85,2.2743e-05
86,2.2282e-05
